year,municode,inc_m,ind_lang,educ_years,sales_hotel,logtemp,logprecip,dist_us_km
2000,13016,1811.539,.0204261,6.519646,55,4.897916,4.024212,651.1688
2000,13018,1177.834,.0699532,5.082751,40,5.388023,4.93134,541.7629
2000,13019,1594.701,.2571611,6.56416,1,5.111251,3.716201,635.7842
2000,13023,1765.144,.0512322,7.425799,120,5.088774,3.719512,640.5624
2000,13024,2227.355,.0216565,6.001944,15333,4.997034,4.154782,629.0817
2000,13028,1444.534,.7139663,5.760573,4100,5.47717,4.88439,529.6727
2000,13029,2152.491,.0071429,7.197516,691,5.076825,3.900971,642.7737
2000,13030,2724.554,.4884273,8.046834,2280,5.1199,3.712169,612.1926
2000,13031,1870.147,.0097778,6.220308,473,5.28844,4.325838,564.475
2000,13037,1807.845,.0311769,6.09802,36,5.086018,4.103498,598.0859
2000,13038,2028.635,.0506799,5.771831,289,4.91542,4.306606,633.598
2000,13039,2921.973,.0878872,8.033239,1440,4.775886,4.281994,640.5807
2000,13041,2392.142,.0241055,8.205435,321,5.117711,3.696787,643.711
2000,13042,1883.602,.0300445,7.496951,265,5.25615,4.681085,565.2399
2000,13046,1122.85,.8097696,4.873908,46,5.500108,4.905293,518.1279
2000,13048,3165.428,.043833,9.894673,43824,4.926001,3.960364,647.3002
2000,13050,1901.613,.0440019,7.443779,220,5.091925,3.710271,634.5867
2000,13051,3675.025,.0200408,10.462,884,4.948954,3.882834,650.6805
2000,13053,1132.064,.6648924,3.795236,45,5.224293,5.111418,596.9975
2000,13058,2053.461,.4265625,7.935545,66,5.201548,3.573628,616.6379
2000,13059,1384.101,.0601285,5.303739,464,5.200615,3.675371,624.9375
2000,13060,1358.309,.5428655,4.56288,70,5.101779,4.988875,610.9361
2000,13061,2734.883,.0079557,9.28232,1972,4.881032,3.959479,672.855
2000,13063,2713.119,.0449931,7.926695,1241,5.050193,4.10768,683.5797
2000,13065,2163.446,.0187852,7.272036,74,5.094754,3.824284,655.0828
2000,13066,1729.691,.0052612,7.397697,32,4.972943,4.039785,668.1787
2000,13067,1574.398,.0218945,6.74869,16,5.122393,3.818751,652.2888
2000,13068,1303.78,.3010537,4.957974,208,5.270762,4.812592,568.9046
2000,13069,2682.822,.0319904,7.93774,1793,5.022998,3.984392,678.2335
2000,13070,1958.268,.0115172,7.335886,510,5.108021,3.80412,654.5417
2000,13073,1164.154,.3637198,5.300803,142,5.331528,5.038259,544.2091
2000,13074,1661.224,.0060626,7.380033,142,5.121204,3.814859,659.3043
2000,13076,3131.379,.0146488,8.753904,10538,5.096784,3.98622,666.916
2000,13077,2315.281,.0422893,7.658697,12059,4.98439,4.010549,636.975
2000,13081,2100.203,.0681019,6.644649,170,5.076098,4.672497,583.9194
2000,13084,2094.395,.1419442,7.29015,4586,5.173563,3.884655,594.3228
2000,14003,6233.007,.002901,7.270751,182,5.237618,4.387469,796.9556
2000,14005,2956.244,.0039777,7.587104,192,5.39346,4.409021,771.1953
2000,14006,2667.769,.0098696,7.699774,1153,5.281955,4.333362,820.975
2000,14008,2661.266,.0024749,6.033006,2323,5.155797,4.314984,701.1641
2000,14009,3113.481,.0014528,7.239295,110,5.297933,4.437752,777.2201
2000,14010,2154.381,.0158817,6.270603,201,5.029754,4.320986,833.0795
2000,14012,3105.516,.0088626,7.349135,9,5.178271,4.569659,868.8487
2000,14013,2506.205,.0020393,6.092833,1169,5.259034,4.304469,734.0177
2000,14015,3094.794,.0069237,7.950748,5173,5.354363,4.472799,906.3511
2000,14016,2123.262,.0033346,5.911426,369,5.285935,4.283535,730.4775
2000,14017,3553.873,.0093431,7.131921,370,5.222369,4.584558,886.4442
2000,14018,2497.512,.0216343,7.284732,1592,5.297151,4.210084,751.2095
2000,14020,4549.18,.0092764,7.728801,216,5.464335,4.730927,926.4277
2000,14021,2333.533,.0116748,6.838695,415,5.479438,4.767651,928.5342
2000,14022,2624.61,.0271,7.245905,21066,5.539866,4.493063,966.6744
2000,14023,3084.159,.0057018,8.779263,4246,5.195229,4.117943,863.9943
